subject,count,mean,std,min,25%,50%,75%,max
1,1129.0,13.977856510186005,22.80686032810066,0.0,0.0,5.0,19.0,166.0
2,1104.0,20.11503623188406,26.799588473291173,0.0,0.0,9.0,31.0,168.0
3,1133.0,12.92144748455428,21.200206863325977,0.0,0.0,2.0,18.0,135.0
4,790.0,17.47721518987342,24.63202161955928,0.0,0.0,8.0,22.0,175.0
5,643.0,8.704510108864696,13.477560496918809,0.0,0.0,2.0,12.5,103.0
6,984.0,20.834349593495936,27.161324288677267,0.0,0.0,8.0,36.0,122.0
7,959.0,16.653806047966633,19.89426810810925,0.0,0.0,10.0,25.0,139.0
8,958.0,13.134655532359082,23.737849654150587,0.0,0.0,1.0,17.0,166.0
9,823.0,19.01944106925881,28.33467197945949,0.0,0.0,9.0,26.0,236.0
10,793.0,22.240857503152586,33.353156912523836,0.0,1.0,10.0,29.0,237.0
11,813.0,16.883148831488313,22.965488649066092,0.0,1.0,9.0,22.0,159.0
12,623.0,10.295345104333869,18.4315740081876,0.0,0.0,1.0,13.0,147.0
13,1287.0,24.74048174048174,31.249551423235467,0.0,3.0,12.0,37.0,203.0
14,193.0,9.746113989637307,17.18625898330132,0.0,0.0,1.0,15.0,119.0
15,678.0,16.700589970501476,25.540775166513036,0.0,0.0,4.5,23.0,147.0
16,590.0,16.33050847457627,26.750642245037767,0.0,0.0,5.0,22.0,166.0
17,269.0,6.115241635687732,8.989095282057132,0.0,0.0,1.0,9.0,52.0
18,1032.0,9.895348837209303,24.44465031206551,0.0,0.0,1.0,2.0,153.0
19,759.0,12.413702239789197,20.110056604712256,0.0,0.0,4.0,17.0,132.0
20,711.0,19.022503516174403,27.767638473583517,0.0,0.0,7.0,25.5,145.0
